analysis_id,09a22ow0tg3bh5w
parameter_name,Glucose
mouse_life_stage,Early adult
pvalue,0.8161032
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
gene_symbol,Bach2
gene_accession_id,MGI:894679
