parameter_name,Periphery average speed
pvalue,0.3004679
analysis_id,8l62sbdd7002w25
gene_accession_id,MGI:1915087
parameter_id,JAX_OFD_013_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Tiprl
