parameter_name,Liver weight
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.8012974
mouse_life_stage,Early adult
analysis_id,28tnpd7us0x247h
