analysis_id,4r704s400iqo32u
gene_accession_id,MGI:1921802
mouse_strain,129SV
pvalue,0.7383823
parameter_name,Neutrophil cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
gene_symbol,Nipal3
