analysis_id,3p57cm2c58nv156
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.8793007
parameter_id,MGP_IMM_101_001
