gene_symbol,Lamb3
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
pvalue,0.3627238
gene_accession_id,MGI:99915
analysis_id,0k429uzc67683t4
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
