analysis_id,8dt521knwbp73ei
mouse_strain,C57BL
gene_symbol,Toporsl
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
pvalue,0.2795685
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
