analysis_id,627v6rl80v93266
mouse_life_stage,E9.5
gene_symbol,Slc39a10
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
pvalue,0.1372049
mouse_strain,C57BL
gene_accession_id,MGI:1914515
