gene_symbol,Cdin1
parameter_name,Liver weight
pvalue,0.4461094
analysis_id,0pibqr584i2g8b7
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
