analysis_id,93dumg30527j197
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,MGP_MLN_031_001
pvalue,0.1448701
parameter_name,Total NK cells - % of CD45+
mouse_strain,B6J
gene_symbol,Nr0b2
