analysis_id,346717ssxk5uabk
pvalue,0.333918
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
mouse_strain,129SV
gene_symbol,Bpifa3
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
