gene_symbol,Hrnr
parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_name,Coat colouration
pvalue,0.3319489
analysis_id,b1e5m27fd91l8z5
