analysis_id,0e0l9366689s4c1
pvalue,0.6170631
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
parameter_name,Whole arena resting time
