parameter_name,Tremor
pvalue,0.6860666
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
analysis_id,570sgxcu8ld7651
gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
