parameter_name,Glucose response AUC
gene_accession_id,MGI:103302
analysis_id,72e30mv198mc843
gene_symbol,Bmp7
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
mouse_life_stage,Early adult
pvalue,0.3147701
