analysis_id,j36vu8tj0j8sd96
parameter_id,ESLIM_016_001_002
gene_symbol,Nucks1
pvalue,0.06711005
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
mouse_strain,C57BL
parameter_name,Red blood cell count
