parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1338022
analysis_id,5uik0b0r3oxhq41
mouse_strain,C57BL
pvalue,0.6097963
gene_symbol,Opn3
parameter_name,Tibia length
mouse_life_stage,Early adult
