analysis_id,32680t16ih1c41x
parameter_name,Center distance travelled
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
gene_symbol,Sema6c
pvalue,0.4431544
gene_accession_id,MGI:1338032
