parameter_name,Limb grasping
gene_symbol,Sema6c
parameter_id,ESLIM_008_001_017
gene_accession_id,MGI:1338032
pvalue,0.8216364
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,n702518q72y8o5g
