gene_symbol,Cpa3
analysis_id,g8564y9tm9047r0
pvalue,0.9934419
parameter_name,Average duration
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:88479
