gene_symbol,Traf6
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
parameter_id,IMPC_XRY_064_001
parameter_name,Thoracic processes
pvalue,0.8534769
mouse_strain,C57BL
analysis_id,035dwf7y26pf21s
