parameter_name,RR
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kifap3
pvalue,0.8499722
parameter_id,IMPC_ECG_004_001
analysis_id,p89234v57g373zb
gene_accession_id,MGI:107566
