gene_symbol,Ncaph
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_010_001
pvalue,0.266276
analysis_id,e69xp36t97rk1m5
gene_accession_id,MGI:2444777
parameter_name,Resting Treg cells - % of Treg
