analysis_id,161lv2jl316nfbt
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_029_001
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
parameter_name,Activity (body position)
pvalue,0.07026789
mouse_strain,C57BL
