gene_symbol,Sprr1b
gene_accession_id,MGI:106659
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,lr0n4f6g71f7851
parameter_id,TCPLA_CSD_030_001
pvalue,0.2244193
parameter_name,Tremor
