analysis_id,z9lx444iysz1x7r
gene_accession_id,MGI:95835
parameter_name,Lens Opacity
gene_symbol,Hspa5
mouse_life_stage,E12.5
pvalue,0.2386016
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
