parameter_id,MGP_IMM_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Etfdh
analysis_id,cedz64i515yl4f0
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:106100
pvalue,0.4510519
