parameter_name,B cell percentage
gene_accession_id,MGI:1923029
analysis_id,2nx67m8fw56276f
pvalue,0.1874755
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
