gene_symbol,Gja10
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.3658381
mouse_life_stage,Early adult
analysis_id,ut2q83415og6192
