parameter_name,Fractional Shortening
analysis_id,6ibxhg719vo09vo
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:1914050
pvalue,0.5024583
gene_symbol,Trp53rkb
