parameter_name,DN CD44+CD62L- NKT cells
gene_symbol,Cldn19
mouse_life_stage,Early adult
pvalue,1.345934
mouse_strain,C57BL
analysis_id,17w26phgeopr68c
gene_accession_id,MGI:3033992
parameter_id,IMPC_IMM_046_001
