analysis_id,22q991b77m7047h
parameter_id,IMPC_DXA_009_001
gene_symbol,Snap23
parameter_name,Fat/Body weight
mouse_strain,C57BL
pvalue,0.2769489
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
