parameter_name,Cholesterol ratio
mouse_strain,C59BL
gene_symbol,Galnt13
pvalue,0.7839235
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2139447
analysis_id,vb618xd96050r9j
