analysis_id,5q730zkfvbzqt2n
parameter_id,MGP_IMM_073_001
mouse_life_stage,Early adult
pvalue,0.9015733
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,B6J
