mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_id,MGP_MLN_076_001
parameter_name,Naive CD8+ T cells - % of CD45+
pvalue,0.5467162
analysis_id,s7w3117iv5f0dw1
