analysis_id,07h66mi03oofe77
pvalue,0.9327299
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
