parameter_id,JAX_SLW_009_001
parameter_name,Dark sleep bout lengths mean
gene_symbol,Pglyrp3
mouse_strain,C57BL
pvalue,0.5248802
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
analysis_id,hqx348921l9n2j9
