analysis_id,7901697068gh207
mouse_strain,C57BL
pvalue,0.3753034
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
parameter_id,ESLIM_004_001_701
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
