analysis_id,iv49tegu1250169
mouse_strain,C57BL
pvalue,7.130373e-06
parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
