parameter_name,Neutrophils
mouse_life_stage,Early adult
analysis_id,c9we6e31gbf8aue
parameter_id,IMPC_IMM_050_001
pvalue,0.9830569
gene_accession_id,MGI:1927232
gene_symbol,Rab13
mouse_strain,C57BL
