parameter_name,Periphery resting time
gene_accession_id,MGI:1919949
gene_symbol,Lime1
analysis_id,lk1r90qa5i13173
pvalue,0.9218627
parameter_id,ESLIM_007_001_007
mouse_life_stage,Early adult
mouse_strain,C57BL
