analysis_id,71965dyzf4ys2nu
mouse_life_stage,Early adult
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:1914556
parameter_id,MGP_IMM_013_001
pvalue,0.4360674
mouse_strain,C57BL
gene_symbol,Zc2hc1a
