gene_symbol,Hnf4a
analysis_id,d3vy05tf4ps60l7
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:109128
parameter_name,Tremor
pvalue,0.3998109
parameter_id,IMPC_CSD_030_001
