gene_symbol,Cpa3
mouse_life_stage,Early adult
pvalue,0.440532
parameter_name,Contact righting
mouse_strain,C57BL
gene_accession_id,MGI:88479
analysis_id,2t4310s9x50e4v9
parameter_id,JAXLA_CSD_077_001
