analysis_id,sx28an839k13m04
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
pvalue,0.542503
gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_name,Neural tube closure
gene_accession_id,MGI:1914071
