gene_symbol,Nr0b2
pvalue,0.992591
analysis_id,6qc0i23b8psd478
parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
mouse_strain,B6J
