gene_symbol,Cntfr
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,Bone Area
analysis_id,z232uo9lt93l8q4
mouse_strain,C57BL
pvalue,0.8545078
