mouse_life_stage,Late adult
parameter_name,Hemoglobin
gene_accession_id,MGI:1336200
pvalue,0.9098689
mouse_strain,C57BL
analysis_id,5110c95b3p57kms
gene_symbol,Hpca
parameter_id,IMPC_HEM_003_001
