parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
pvalue,0.1451328
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
analysis_id,5z58vg32g1f6ma0
gene_symbol,Traf6
