analysis_id,53bt5z4259609c5
gene_accession_id,MGI:109356
pvalue,0.8977668
parameter_id,MGP_IMM_027_001
mouse_life_stage,Late adult
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
gene_symbol,Snap23
