analysis_id,o7b02m4j41ii5xz
parameter_name,Startle response
pvalue,0.4130373
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
gene_symbol,Gja10
mouse_strain,C54BL
parameter_id,HMGULA_SHI_009_001
