analysis_id,5991h7m2p6tpx3m
gene_symbol,F2
parameter_id,JAXLA_CSD_021_001
mouse_strain,C57BL
gene_accession_id,MGI:88380
pvalue,0.7401814
mouse_life_stage,Early adult
parameter_name,Hindlimbs - shape
