analysis_id,bp1q834up591cx8
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
gene_symbol,Wars2
parameter_id,IMPC_IMM_055_001
pvalue,0.4537434
gene_accession_id,MGI:1917810
