analysis_id,qfto5oq279c334h
mouse_strain,C57BL
pvalue,0.9446978
parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
