analysis_id,5ygkeifma23vh11
pvalue,0.9873533
parameter_id,M-G-P_014_001_001
gene_symbol,Arpc2
parameter_name,Eye
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
mouse_strain,C57BL
