parameter_name,Snout size
parameter_id,MGP_CSD_067_001
pvalue,0.8639219
gene_accession_id,MGI:95457
gene_symbol,Mecom
analysis_id,14n7x4c1n6usv11
mouse_strain,C57BL
mouse_life_stage,E12.5
