gene_symbol,Morn5
gene_accession_id,MGI:1922745
analysis_id,126c60597476mdm
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
pvalue,0.7810943
mouse_life_stage,Early adult
mouse_strain,C57BL
