analysis_id,yt4848356i12bym
pvalue,0.5540399
gene_symbol,Dmap1
parameter_name,Periphery resting time
mouse_strain,C55BL
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
parameter_id,IMPC_OFD_011_001
