analysis_id,p0qyc2izgn7578x
parameter_id,IMPC_IMM_004_001
parameter_name,NKT cells (panel A)
gene_symbol,Slc30a4
pvalue,0.1328988
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
