gene_symbol,Stk35
mouse_strain,C57BL
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
pvalue,0.7276668
analysis_id,mw49jpw7527q42r
