parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
analysis_id,a6nd503v3e50pu7
mouse_life_stage,Early adult
pvalue,0.06106419
mouse_strain,C57BL
