parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
pvalue,0.4751313
analysis_id,44t7o4413e9fmnj
gene_symbol,Cisd2
mouse_strain,C57BL
