analysis_id,g254z39g124fbo4
pvalue,0.4440103
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
gene_symbol,Ola1
