analysis_id,8p54ivdzwlqk416
mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:894679
pvalue,0.1950504
parameter_id,IMPC_ABR_012_001
mouse_life_stage,Early adult
gene_symbol,Bach2
